StudentID,Age,Gender,Department,StudyHours,Attendance,AssignmentScore,PreviousExamScore,PracticeTestScore,FinalMarks,Pass
S090,24,Female,Computer Science,7.7,90.5,71.0,74.0,67.0,74.8,1
S091,19,Female,Engineering,1.2,89.2,59.0,50.0,52.0,50.6,1
S092,19,Male,Computer Science,6.5,80.9,83.0,76.0,71.0,77.5,1
S093,21,Male,Computer Science,7.6,60.6,59.0,69.0,55.0,67.1,1
S094,19,Female,Mathematics,4.2,75.4,50.0,58.0,52.0,56.8,1
S095,19,Female,Engineering,1.6,79.3,45.0,28.0,30.0,41.3,0
S096,23,Female,Engineering,1.7,75.7,39.0,41.0,42.0,42.2,0
S097,21,Female,Physics,1.9,62.8,35.0,28.0,37.0,39.6,0
S098,23,Male,Computer Science,8.1,75.2,64.0,70.0,58.0,72.9,1
S099,24,Male,Computer Science,8.7,74.1,84.0,80.0,67.0,76.0,1
S100,24,Female,Commerce,2.0,98.8,59.0,62.0,47.0,60.6,1
S101,23,Female,Physics,3.0,94.0,51.0,54.0,57.0,55.6,1
S102,24,Female,Commerce,2.4,72.7,30.0,42.0,33.0,38.5,0
S103,21,Female,Commerce,2.6,80.5,36.0,50.0,40.0,47.6,0
S104,18,Male,Commerce,8.1,86.6,77.0,88.0,74.0,80.1,1
S105,23,Male,Mathematics,3.8,51.7,30.0,39.0,37.0,38.4,0
S106,22,Female,Mathematics,3.6,93.9,60.0,61.0,59.0,64.9,1
S107,22,Female,Commerce,2.9,92.1,45.0,52.0,43.0,53.2,1
S108,19,Female,Physics,6.2,72.4,61.0,60.0,48.0,63.4,1
S109,24,Female,Computer Science,4.2,69.2,52.0,48.0,38.0,49.3,0
S110,22,Female,Physics,7.3,63.4,62.0,50.0,47.0,57.6,1
S111,19,Male,Engineering,2.7,73.4,43.0,39.0,34.0,44.5,0
S112,18,Male,Mathematics,7.7,52.2,56.0,50.0,47.0,59.7,1
S113,21,Male,Computer Science,6.1,91.8,61.0,77.0,70.0,74.8,1
S114,21,Female,Computer Science,2.0,51.7,40.0,39.0,36.0,37.9,0
S115,21,Male,Engineering,4.5,66.1,58.0,55.0,49.0,53.7,1
S116,22,Male,Engineering,8.3,95.6,67.0,73.0,,81.9,1
S117,18,Female,Commerce,8.8,86.0,75.0,81.0,66.0,82.0,1
S118,22,Male,Mathematics,5.0,63.8,54.0,50.0,47.0,53.4,1
S119,24,Female,Mathematics,5.1,62.4,54.0,57.0,54.0,56.3,1
S120,22,Male,Physics,8.8,50.2,64.0,70.0,65.0,70.0,1
S121,18,Male,Commerce,6.0,84.1,60.0,59.0,60.0,67.2,1
S122,18,Female,Commerce,1.3,52.4,36.0,28.0,45.0,34.7,0
S123,24,Male,Commerce,8.8,76.1,77.0,86.0,74.0,84.0,1
S124,18,Male,Commerce,3.1,97.1,58.0,58.0,66.0,62.0,1
S125,18,Female,Mathematics,5.9,55.4,57.0,52.0,45.0,54.7,1
S126,21,Female,Mathematics,2.4,93.8,60.0,54.0,64.0,59.8,1
S127,24,Male,Commerce,1.3,98.6,35.0,37.0,34.0,43.7,0
S128,20,Female,Physics,3.6,53.0,50.0,47.0,44.0,46.4,0
S129,20,Male,Computer Science,7.6,93.3,76.0,85.0,70.0,80.4,1
S130,18,Male,Computer Science,3.4,75.3,41.0,48.0,41.0,48.7,0
S131,20,Female,Physics,2.9,94.4,61.0,75.0,61.0,64.7,1
S132,20,Female,Commerce,2.8,78.0,45.0,51.0,42.0,48.0,0
S133,18,Female,Mathematics,5.4,82.4,58.0,64.0,60.0,63.0,1
S134,20,Female,Computer Science,9.3,76.6,70.0,72.0,59.0,76.9,1
S135,22,Female,Engineering,4.9,92.4,64.0,64.0,61.0,67.5,1
S136,19,Male,Engineering,5.7,86.0,57.0,58.0,61.0,63.7,1
S137,24,Male,Physics,8.3,75.5,77.0,62.0,59.0,71.7,1
S138,19,Female,Commerce,5.5,92.5,63.0,74.0,66.0,69.5,1
S139,18,Male,Computer Science,2.6,62.0,39.0,38.0,41.0,41.9,0
S140,21,Male,Commerce,3.5,57.7,50.0,43.0,57.0,47.2,0
S141,24,Male,Computer Science,3.6,57.9,42.0,47.0,39.0,49.1,0
S142,18,Male,Physics,4.4,66.4,58.0,59.0,58.0,57.1,1
S143,21,Female,Physics,4.6,61.7,58.0,53.0,41.0,48.6,0
S144,19,Female,Engineering,7.8,95.6,64.0,75.0,59.0,75.7,1
S145,18,Female,Commerce,4.0,55.2,54.0,56.0,53.0,52.4,1
S146,24,Male,Engineering,,84.3,48.0,55.0,56.0,61.1,1
S147,24,Male,Commerce,6.3,59.3,65.0,65.0,51.0,62.8,1
S148,23,Male,Engineering,4.2,93.2,76.0,56.0,63.0,64.5,1
S149,22,Male,Mathematics,8.1,97.1,83.0,75.0,68.0,81.6,1
S150,20,Female,Mathematics,6.0,72.8,42.0,60.0,39.0,56.7,1
S151,21,Female,Mathematics,3.5,93.1,65.0,52.0,54.0,55.8,1
S152,23,Female,Mathematics,7.1,50.3,74.0,69.0,73.0,71.6,1
S153,20,Male,Computer Science,5.5,90.2,61.0,65.0,50.0,63.6,1
S154,20,Female,Mathematics,5.5,61.2,53.0,54.0,49.0,58.0,1
S155,18,Female,Physics,5.1,94.5,54.0,57.0,45.0,61.5,1
S156,20,Female,Physics,5.2,50.1,51.0,58.0,47.0,54.2,1
S157,22,Female,Computer Science,7.5,77.3,77.0,87.0,80.0,83.2,1
S158,24,Male,Mathematics,1.9,87.1,54.0,53.0,48.0,53.0,1
S159,23,Male,Mathematics,3.8,62.7,72.0,61.0,67.0,62.0,1
S160,20,Male,Mathematics,1.6,59.5,37.0,32.0,41.0,36.4,0
S161,18,Female,Engineering,7.4,54.1,45.0,49.0,42.0,55.0,1
S162,22,Male,Commerce,3.3,66.0,48.0,48.0,42.0,46.8,0
S163,19,Male,Engineering,8.6,77.4,52.0,62.0,47.0,66.0,1
S164,24,Male,Commerce,5.5,55.7,47.0,40.0,36.0,51.1,1
S165,24,Male,Mathematics,7.8,68.5,78.0,80.0,71.0,75.6,1
S166,23,Female,Mathematics,9.3,50.4,67.0,77.0,64.0,73.2,1
S167,24,Female,Engineering,8.1,90.1,75.0,73.0,61.0,77.7,1
S168,20,Male,Engineering,8.4,56.3,78.0,76.0,58.0,72.3,1
S169,18,Male,Commerce,4.5,63.9,48.0,59.0,50.0,55.1,1
S170,24,Male,Physics,5.7,50.9,61.0,59.0,51.0,58.3,1
S171,24,Male,Commerce,3.2,71.2,49.0,41.0,41.0,45.2,0
S172,19,Male,Engineering,2.7,91.2,56.0,53.0,52.0,55.8,1
S173,19,Male,Engineering,5.3,69.2,46.0,64.0,36.0,53.2,1
S174,21,Male,Computer Science,6.1,58.8,51.0,59.0,41.0,57.2,1
S175,22,Female,Engineering,3.9,86.9,45.0,57.0,61.0,58.2,1
S176,20,Female,Computer Science,5.8,88.7,63.0,69.0,56.0,68.1,1
S177,24,Male,Physics,8.5,58.5,68.0,65.0,44.0,67.5,1
S178,24,Male,Commerce,5.7,87.8,55.0,59.0,43.0,60.7,1
S179,18,Female,Commerce,7.1,96.4,89.0,85.0,90.0,89.0,1
S180,21,Male,Computer Science,7.8,58.2,64.0,73.0,57.0,66.5,1
S181,22,Female,Commerce,9.4,87.8,79.0,92.0,81.0,91.5,1
S182,21,Female,Engineering,6.1,84.7,70.0,64.0,60.0,67.8,1
S183,23,Male,Mathematics,7.9,73.2,61.0,73.0,57.0,67.5,1
S184,22,Male,Computer Science,9.2,52.8,67.0,80.0,70.0,74.4,1
S185,24,Female,Commerce,9.0,53.7,59.0,61.0,40.0,62.3,1
S186,24,Male,Computer Science,2.2,91.8,63.0,67.0,50.0,58.4,1
S187,22,Female,Computer Science,4.5,98.5,54.0,73.0,55.0,66.3,1
S188,24,Female,Mathematics,3.8,83.1,55.0,75.0,51.0,63.5,1
S189,20,Female,Engineering,1.7,71.9,45.0,45.0,39.0,43.2,0
S190,22,Male,Computer Science,6.4,81.7,67.0,71.0,66.0,69.9,1
S191,21,Female,Commerce,7.3,79.1,62.0,75.0,62.0,69.8,1
S192,22,Male,Physics,8.2,68.8,60.0,75.0,68.0,71.8,1
S193,24,Female,Computer Science,2.0,53.2,32.0,43.0,38.0,34.1,0
S194,20,Female,Computer Science,8.4,90.3,79.0,87.0,78.0,84.1,1
S195,20,Male,Mathematics,6.5,68.2,59.0,62.0,54.0,65.2,1
S196,23,Female,Engineering,7.0,90.1,76.0,85.0,67.0,77.8,1
S197,21,Female,Physics,8.7,62.4,70.0,66.0,69.0,73.8,1
S198,19,Male,Commerce,6.3,50.1,35.0,50.0,37.0,46.3,0
S199,19,Male,Physics,3.9,57.8,48.0,59.0,52.0,55.3,1
S200,22,Male,Commerce,8.0,73.0,86.0,71.0,73.0,81.4,1
S201,23,Male,Engineering,4.1,96.3,71.0,62.0,64.0,68.0,1
S202,18,Male,Commerce,1.3,55.0,38.0,40.0,31.0,39.1,0
S203,22,Female,Mathematics,8.1,91.9,66.0,79.0,71.0,79.9,1
S204,23,Male,Mathematics,3.9,75.8,56.0,49.0,42.0,54.1,1
S205,21,Male,Mathematics,7.6,90.5,78.0,76.0,72.0,82.1,1
S206,21,Female,Mathematics,4.1,,47.0,42.0,45.0,48.6,0
S207,21,Male,Physics,8.3,91.2,78.0,88.0,77.0,82.5,1
S208,21,Female,Engineering,2.9,87.9,64.0,56.0,47.0,58.3,1
S209,21,Male,Commerce,9.3,61.3,62.0,84.0,69.0,75.6,1
S210,23,Male,Commerce,7.6,56.4,52.0,62.0,59.0,62.1,1
S211,23,Female,Mathematics,2.0,92.5,56.0,51.0,50.0,54.0,1
S212,20,Female,Mathematics,5.8,97.2,71.0,70.0,57.0,72.5,1
S213,19,Female,Computer Science,9.4,51.5,74.0,73.0,70.0,75.1,1
S214,24,Female,Engineering,5.0,85.8,65.0,65.0,59.0,66.8,1
S215,21,Female,Physics,2.5,94.6,49.0,70.0,45.0,56.0,1
S216,18,Male,Commerce,5.1,92.0,66.0,64.0,53.0,65.8,1
S217,24,Male,Computer Science,5.4,97.3,57.0,63.0,51.0,66.6,1
S218,23,Female,Computer Science,7.3,87.2,68.0,74.0,72.0,79.3,1
S219,18,Female,Commerce,6.9,71.7,67.0,76.0,71.0,76.3,1
S220,18,Female,Physics,4.4,65.3,48.0,42.0,50.0,50.9,1
S221,18,Male,Computer Science,2.9,65.7,64.0,56.0,55.0,55.9,1
S222,20,Male,Computer Science,6.5,85.5,51.0,58.0,56.0,67.5,1
S223,23,Female,Engineering,4.6,86.5,54.0,63.0,47.0,58.9,1
S224,18,Male,Physics,2.1,59.8,32.0,34.0,34.0,37.2,0
S225,21,Female,Computer Science,8.7,92.5,72.0,64.0,63.0,78.3,1
S226,22,Female,Physics,6.9,85.0,62.0,72.0,53.0,72.3,1
S227,18,Male,Commerce,6.8,77.6,54.0,67.0,56.0,63.8,1
S228,20,Female,Mathematics,8.0,73.1,74.0,71.0,74.0,74.2,1
S229,24,Female,Computer Science,5.5,76.6,54.0,56.0,54.0,59.9,1
S230,23,Male,Engineering,7.9,57.8,63.0,58.0,60.0,65.8,1
S231,20,Female,Commerce,5.2,60.0,48.0,58.0,34.0,53.9,1
S232,18,Male,Physics,1.6,54.5,30.0,40.0,45.0,38.0,0
S233,23,Female,Commerce,4.4,57.5,61.0,49.0,49.0,52.5,1
S234,22,Male,Computer Science,5.2,72.2,63.0,58.0,50.0,60.7,1
S235,18,Female,Physics,7.1,76.0,50.0,63.0,51.0,64.1,1
S236,20,Male,Mathematics,1.9,50.9,30.0,50.0,31.0,40.1,0
S237,19,Male,Commerce,2.2,89.0,58.0,57.0,59.0,57.1,1
S238,21,Female,Computer Science,3.2,64.4,41.0,38.0,36.0,41.7,0
S239,24,Male,Engineering,3.3,94.7,43.0,55.0,42.0,54.5,1
S240,20,Male,Physics,7.2,97.4,81.0,71.0,65.0,78.7,1
S241,23,Female,Commerce,3.1,59.1,44.0,50.0,51.0,44.6,0
S242,18,Female,Commerce,6.4,72.6,63.0,77.0,63.0,69.5,1
S243,21,Female,Mathematics,5.2,50.1,55.0,65.0,46.0,55.2,1
S244,18,Female,Mathematics,5.9,79.3,51.0,66.0,56.0,62.4,1
S245,23,Male,Engineering,8.1,79.8,57.0,66.0,50.0,70.3,1
S246,18,Male,Engineering,4.4,62.1,62.0,47.0,37.0,49.8,0
S247,19,Male,Computer Science,7.6,77.4,56.0,58.0,61.0,67.6,1
S248,21,Female,Computer Science,4.6,61.1,40.0,29.0,37.0,42.5,0
S249,21,Female,Engineering,4.0,57.9,38.0,50.0,42.0,46.6,0
S250,23,Female,Engineering,9.1,81.9,92.0,86.0,74.0,87.9,1
S251,24,Female,Physics,2.6,66.0,47.0,52.0,55.0,47.0,0
S252,19,Male,Mathematics,1.8,78.9,53.0,58.0,69.0,55.4,1
S253,20,Male,Computer Science,7.6,71.2,67.0,71.0,64.0,75.6,1
S254,18,Male,Mathematics,1.6,98.2,46.0,50.0,39.0,46.6,0
S255,22,Female,Mathematics,8.1,57.3,68.0,66.0,59.0,68.1,1
S256,18,Male,Engineering,4.7,72.8,42.0,50.0,46.0,54.1,1
S257,18,Female,Physics,8.8,83.3,66.0,82.0,51.0,77.0,1
S258,20,Male,Commerce,7.1,69.4,69.0,68.0,63.0,70.8,1
S259,18,Male,Physics,6.2,97.8,58.0,66.0,59.0,65.0,1
S260,19,Male,Physics,9.1,85.4,75.0,81.0,76.0,84.6,1
S261,19,Female,Mathematics,4.4,82.2,55.0,64.0,61.0,60.4,1
S262,21,Female,Physics,9.1,87.1,73.0,76.0,66.0,81.0,1
S263,23,Male,Computer Science,2.1,96.7,37.0,47.0,50.0,49.7,0
S264,24,Male,Mathematics,5.1,94.5,58.0,66.0,68.0,72.0,1
S265,22,Female,Computer Science,3.3,85.5,47.0,60.0,50.0,56.4,1
S266,18,Male,Commerce,5.6,86.7,64.0,65.0,60.0,66.9,1
S267,18,Female,Mathematics,2.4,57.2,41.0,36.0,27.0,34.6,0
S268,20,Female,Commerce,8.2,55.0,65.0,65.0,49.0,65.6,1
S269,23,Male,Mathematics,8.2,78.0,65.0,80.0,59.0,76.4,1
S270,19,Male,Engineering,9.1,50.9,68.0,85.0,65.0,74.7,1
S271,22,Female,Physics,2.3,73.6,33.0,32.0,26.0,36.4,0
S272,21,Male,Engineering,6.3,60.3,42.0,47.0,42.0,50.9,1
S273,19,Male,Commerce,5.0,67.0,35.0,48.0,38.0,49.4,0
S274,23,Female,Physics,3.9,88.0,52.0,57.0,57.0,60.1,1
S275,24,Female,Mathematics,4.0,96.1,54.0,65.0,51.0,64.1,1
S276,21,Female,Physics,4.5,53.5,53.0,45.0,32.0,44.9,0
S277,24,Female,Computer Science,7.0,76.2,59.0,59.0,54.0,65.7,1
S278,20,Male,Physics,6.1,93.2,69.0,72.0,62.0,72.2,1
S279,20,Male,Computer Science,4.9,54.0,55.0,52.0,44.0,51.7,1
S280,18,Female,Physics,1.6,90.4,43.0,53.0,46.0,50.1,1
S281,24,Female,Computer Science,1.7,67.5,43.0,45.0,35.0,42.3,0
S282,23,Male,Commerce,1.0,65.8,45.0,44.0,44.0,42.5,0
S283,22,Female,Engineering,9.2,97.9,71.0,82.0,83.0,84.8,1
S284,21,Male,Mathematics,1.0,59.8,35.0,51.0,31.0,36.4,0
S285,19,Male,Physics,1.9,84.0,42.0,40.0,36.0,46.5,0
S286,23,Male,Engineering,3.7,90.3,47.0,59.0,45.0,55.7,1
S287,23,Male,Mathematics,7.9,52.0,48.0,51.0,44.0,57.1,1
S288,20,Male,Mathematics,9.2,82.8,66.0,70.0,67.0,79.1,1
S289,24,Male,Computer Science,7.7,96.6,75.0,75.0,69.0,80.6,1
S290,18,Male,Commerce,6.9,56.1,44.0,68.0,57.0,61.6,1
S291,18,Female,Commerce,5.4,93.9,60.0,68.0,58.0,69.2,1
S292,21,Female,Engineering,1.7,79.1,51.0,43.0,36.0,41.2,0
S293,20,Female,Commerce,9.1,80.2,78.0,84.0,64.0,80.9,1
S294,23,Female,Physics,7.4,80.0,63.0,70.0,64.0,72.4,1
S295,22,Male,Commerce,6.4,64.6,72.0,64.0,61.0,68.9,1
S296,20,Male,Engineering,7.5,95.8,89.0,74.0,78.0,83.5,1
S297,21,Female,Commerce,7.2,96.4,73.0,87.0,72.0,80.1,1
S298,21,Male,Physics,6.4,80.6,44.0,61.0,42.0,58.1,1
S299,20,Female,Computer Science,9.3,88.4,85.0,98.0,76.0,92.2,1
S300,21,Male,Engineering,8.7,80.0,54.0,78.0,63.0,74.0,1
